,treatm,week,c_atar_ii_1,c_atar_ii_0,cmcsaq_session_hours_1,cgsaq_session_hours_1,cgmcq_session_hours_1,cesaq_session_hours_1,cemcq_session_hours_1,ceg_session_hours_1,csaq_session_hours_1,cmcq_session_hours_1,cgame_session_hours_1,cebook_session_hours_1,cmcsaq_session_hours_0,cgsaq_session_hours_0,cgmcq_session_hours_0,cesaq_session_hours_0,cemcq_session_hours_0,ceg_session_hours_0,csaq_session_hours_0,cmcq_session_hours_0,cgame_session_hours_0,cebook_session_hours_0,acsaq_session_hours_1,acmcq_session_hours_1,acmcq_Cshare_nonrev_1,acmcq_Cattempt_nonrev_1,acmcq_attempt_nonrev_1,acsa_attempt_1,acebook_commentposted_1,acvideos_watched_1,acvideo_events_1,actotebook_pageviews_1,acebook_session_hours_1,acebook_logins_1,acsession_clicks_1,acgame_session_hours_1,acgame_logins_1,acplayer_money_deploym_1,acplayer_happy_deploym_1,acsaq_session_hours_0,acmcq_session_hours_0,acmcq_Cshare_nonrev_0,acmcq_Cattempt_nonrev_0,acmcq_attempt_nonrev_0,acsa_attempt_0,acebook_commentposted_0,acvideos_watched_0,acvideo_events_0,actotebook_pageviews_0,acebook_session_hours_0,acebook_logins_0,acsession_clicks_0,acgame_session_hours_0,acgame_logins_0,acplayer_money_deploym_0,acplayer_happy_deploym_0,sd_markw13_exp2_1,sd_markw13_exp2_0,sd_markw13_exp1_1,sd_markw13_exp1_0,sd_markw16_1,sd_markw16_0,sd_markw15_1,sd_markw15_0,sd_mark_1,sd_mark_0,sd_final_1,sd_final_0,sd_markpl_1,sd_markpl_0,sd_markw6_1,sd_markw6_0,sd_saq_session_hours_cumul_1,sd_saq_session_hours_cumul_0,sd_mcq_session_hours_cumul_1,sd_mcq_session_hours_cumul_0,sd_mcq_Cshare_nonrev_cumul_1,sd_mcq_Cshare_nonrev_cumul_0,sd_mcq_Cattempt_nonrev_cumul_1,sd_mcq_Cattempt_nonrev_cumul_0,sd_mcq_attempt_nonrev_cumul_1,sd_mcq_attempt_nonrev_cumul_0,sd_sa_attempt_cumul_1,sd_sa_attempt_cumul_0,sd_ebook_commentposted_cumul_1,sd_ebook_commentposted_cumul_0,sd_videos_watched_cumul_1,sd_videos_watched_cumul_0,sd_video_events_cumul_1,sd_video_events_cumul_0,sd_totebook_pageviews_cumul_1,sd_totebook_pageviews_cumul_0,sd_ebook_session_hours_cumul_1,sd_ebook_session_hours_cumul_0,sd_ebook_logins_cumul_1,sd_ebook_logins_cumul_0,sd_session_clicks_cumul_1,sd_session_clicks_cumul_0,sd_game_session_hours_cumul_1,sd_game_session_hours_cumul_0,sd_game_logins_cumul_1,sd_game_logins_cumul_0,sd_player_money_deploym_cumul_1,sd_player_money_deploym_cumul_0,sd_player_happy_deploym_cumul_1,sd_player_happy_deploym_cumul_0,av_markw13_exp2_1,av_markw13_exp2_0,av_markw13_exp1_1,av_markw13_exp1_0,av_markw16_1,av_markw16_0,av_markw15_1,av_markw15_0,av_mark_1,av_mark_0,av_final_1,av_final_0,av_markpl_1,av_markpl_0,av_markw6_1,av_markw6_0,av_saq_session_hours_cumul_1,av_saq_session_hours_cumul_0,av_mcq_session_hours_cumul_1,av_mcq_session_hours_cumul_0,av_mcq_Cshare_nonrev_cumul_1,av_mcq_Cshare_nonrev_cumul_0,av_mcq_Cattempt_nonrev_cumul_1,av_mcq_Cattempt_nonrev_cumul_0,av_mcq_attempt_nonrev_cumul_1,av_mcq_attempt_nonrev_cumul_0,av_sa_attempt_cumul_1,av_sa_attempt_cumul_0,av_ebook_commenting_1,av_ebook_commenting_0,av_ebook_commentposted_cumul_1,av_ebook_commentposted_cumul_0,av_videos_watched_cumul_1,av_videos_watched_cumul_0,av_video_events_cumul_1,av_video_events_cumul_0,av_totebook_pageviews_cumul_1,av_totebook_pageviews_cumul_0,av_ebook_session_hours_cumul_1,av_ebook_session_hours_cumul_0,av_ebook_logins_cumul_1,av_ebook_logins_cumul_0,av_session_clicks_cumul_1,av_session_clicks_cumul_0,av_game_session_hours_cumul_1,av_game_session_hours_cumul_0,av_game_logins_cumul_1,av_game_logins_cumul_0,av_player_money_deploym_cumul_1,av_player_money_deploym_cumul_0,av_player_happy_deploym_cumul_1,av_player_happy_deploym_cumul_0
1,0,1,NA,NA,NA,NA,NA,NA,-0.057954542,NA,NA,-0.236955613,NA,-0.026493967,NA,NA,NA,NA,0.079210348,NA,NA,0.087537766,NA,0.086866699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230704263,0.095613495,NA,NA,NA,NA,NA,NA,NA,NA,0.370377481,0.143817738,1.33349359,1.962642312,17.11636162,21.8937645,31.81354141,43.39900208,1.17614615,1.832047343,2.636275291,3.532907248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058242586,0.025869224,NA,NA,NA,NA,NA,NA,NA,NA,0.015306123,0.020979021,0.035714287,0.020979021,0.321428567,0.573426545,3.275510311,5.615384579,12.33673477,16.86013985,0.516790926,0.798896551,1.198979616,1.727272749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,2,NA,NA,0.032218259,NA,NA,0.1694839,0.179246098,NA,0.630325556,-0.013332646,NA,0.189450607,0.222618744,NA,NA,0.137498781,0.15642637,NA,-0.395775586,0.180851489,NA,0.152352467,NA,0.014831309,NA,NA,NA,NA,1,0.861124575,0.965346396,0.721967876,0.708241284,0.798854172,NA,NA,NA,NA,NA,NA,-0.480162233,NA,NA,NA,NA,NA,0.818125069,0.690928757,0.653269947,0.761189938,0.729664326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129665956,0.0582253,0.691491365,0.239122361,0.167705119,0.191504031,10.58093166,4.658092022,15.64526653,8.655459404,0.445454985,0.219236434,0.598336279,0.184336931,3.453723431,3.499771357,33.88850021,54.00037384,111.2975998,115.9039154,3.496515512,4.689176083,8.517915726,9.376111031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022907428,0.010631876,0.160208389,0.064190134,0.717165589,0.649793148,3.168367386,1.363636374,4.642857075,2.342657328,0.081632651,0.034965035,0.081632651,0.034965035,0.127551019,0.034965035,1.142857194,1.818181872,11.02040863,22.48950958,91.36224365,99.16783142,3.082705975,3.844692469,7.265305996,8.104894638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0,3,NA,NA,-0.085944399,NA,NA,0.177277431,0.208908692,NA,-0.256936222,-0.034210633,NA,0.2200609,0.060715657,NA,NA,0.171986684,0.182534367,NA,-0.480277836,0.116560459,NA,0.175844699,-1,0.959641814,0.908799827,0.877383828,0.870023429,0.883883476,0.938319743,0.89135164,0.855556965,0.946047843,0.926128447,0.95028621,NA,NA,NA,NA,NA,NA,0.533041894,0.667270839,0.399799168,0.472548813,1,NA,0.749684274,0.679534972,0.935998082,0.926858544,0.934034228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161271632,0.137865886,1.06590271,0.633614242,0.164294228,0.174506962,21.26946831,19.84680748,32.88489914,30.56266212,0.613471627,0.551584125,0.648469627,0.201198027,5.581131935,5.986203194,57.78106308,100.0783844,156.5251465,165.4821625,5.366221428,7.165082932,11.66683006,13.17255497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035020974,0.029756228,0.302325994,0.200023457,0.714806318,0.682181776,7.826530457,6.139860153,11.75510216,9.685315132,0.183673471,0.139860138,0.081632651,0.041958041,0.142857149,0.041958041,2.377551079,3.195804119,23.51020432,42.25174713,143.4234619,163.1608429,5.247709751,6.708732128,11.34693909,13.16083908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0,4,NA,NA,-0.089403048,NA,NA,0.179644734,0.20575124,NA,-0.24105905,-0.058493841,NA,0.210419193,-0.029351592,NA,NA,0.162862495,0.171857715,NA,-0.376988798,0.006936445,NA,0.169957235,0.999013782,0.972694159,0.903982818,0.88085252,0.899102688,0.904534042,1,0.900262833,0.874042511,0.971458435,0.944450915,0.959690452,NA,NA,NA,NA,NA,1,0.847915173,0.893949032,0.689389944,0.676805198,1,NA,0.8790254,0.946875274,0.958904207,0.955921531,0.958599031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172215372,0.152286097,1.480808496,0.975251377,0.151516348,0.172572657,33.39139557,32.60280609,52.7449379,55.73901367,0.758554935,0.623894691,0.651267707,0.201198027,7.617793083,8.358974457,96.41473389,135.2975006,180.0101318,204.9855957,6.822515011,9.37558651,14.20691395,16.65585899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047514807,0.039782688,0.514139414,0.345429271,0.711003602,0.671149135,14.22449017,11.14685345,21.71938705,18.74825096,0.265306115,0.181818187,0.086734697,0.041958041,0.147959188,0.041958041,3.571428537,5.027972221,37.59693909,63.15384674,174.8010254,208.370636,7.044395447,9.448232651,14.65816307,18.06992912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0,5,NA,NA,0.038053308,0.235043541,0.280641943,0.197726592,0.239440769,0.308230191,0.040411104,0.042394459,0.271603525,0.235981017,-0.317706347,0.256564677,0.237395078,0.221079558,0.202373698,0.279335827,-0.227330223,-0.201835185,0.23717837,0.205522805,0.975819826,0.890658557,0.838276267,0.809297025,0.818740606,0.684944451,0.82919848,0.870718181,0.853670835,0.859167397,0.891290188,0.870555699,NA,NA,NA,NA,NA,0.534333408,0.859192252,0.739123821,0.90144074,0.919330835,0.572210968,NA,0.886023343,0.870672286,0.958903193,0.955516219,0.93866545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6737656,0.361032218,2.013676882,1.318366051,0.154066086,0.140722632,48.44629669,41.97356796,75.94287872,69.63333893,1.841608763,1.185411453,4.090278149,1.245300412,10.73669815,12.6981411,209.2108612,230.8269501,239.3962402,275.5112305,9.211053848,12.76148987,19.80949783,23.17894745,5333.368062,2887.640902,10.90560627,7.173303127,37.63106537,19.15154076,504671.6026,100481.0389,8612.873828,1001.55594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18655175,0.140687227,0.953318179,0.687582552,0.720866621,0.648620605,28.11224556,20.35664368,42.71938705,33.38461685,0.591836751,0.461538464,0.18877551,0.132867128,0.790816307,0.342657357,8.484693527,9.405594826,135.6530609,155.2097931,268.5050964,295.7902222,10.89521408,13.48552322,22.59693909,25.74125862,2793.392857,1111.902098,8.789768219,5.946604252,28.48469353,17.11888123,42945.06417,14457.53237,3526.86747,602.6666667
6,0,6,NA,NA,-0.074647658,0.210182026,0.280516505,0.18582122,0.245923132,0.305516511,0.0653271,-0.016144935,0.273579359,0.243757501,-0.249543235,0.328375369,0.30638954,0.248207673,0.23093161,0.307201624,-0.175243214,-0.072285078,0.298839182,0.223605782,0.975071788,0.904298842,0.912759423,0.781924486,0.830273151,0.940059662,0.981153548,0.943195105,0.966089547,0.973052382,0.958898783,0.946324825,0.896117628,0.890033245,0.945342839,0.999999583,0.998322845,0.991270959,0.793199897,0.920836329,0.847882271,0.870034456,0.973356843,0.953562498,0.96794641,0.964714944,0.973240435,0.978619397,0.970687628,0.915373623,0.780916929,0.899363756,0.997816384,0.673206806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935068011,0.569587827,2.394374371,1.886392236,0.149011865,0.162863269,60.95681763,53.79483795,91.81200409,87.33506775,2.818678856,1.469074488,6.050033569,1.689330101,12.39374924,14.71446609,223.2493744,250.1221619,272.2558594,312.6343079,11.3128376,14.63991642,26.24811745,27.28948975,8105.026006,6483.094438,17.20488739,12.03083897,48.57635498,26.86477089,11873338.41,1422039.875,105301.441,23823.55314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.302520305,0.224624008,1.444972515,1.273661733,0.718290746,0.685940683,42.31122589,35.53146744,63.41836548,56.31468582,0.938775539,0.692307711,0.229591832,0.202797204,1.21938777,0.559440553,10.51020432,11.32167816,167.1479645,185.9090881,317.163269,354.2517395,13.89901447,16.59400368,29.97959137,32.48251724,4995.576531,2698.853147,15.22420883,11.54497242,43.93367386,29.5244751,1152897.874,220712.8777,39088.59124,12579.24444
7,0,7,NA,NA,-0.203117386,0.168542415,0.223824725,0.169103816,0.21546796,0.266361475,-0.028520113,-0.10918349,0.223536685,0.219494492,-0.170489952,0.349450707,0.337821186,0.22982423,0.228880808,0.329317838,-0.172255039,-0.00587518,0.327687323,0.218449607,0.967364311,0.94444114,0.947286129,0.935161591,0.927832723,0.959813118,0.831189215,0.960359216,0.814202249,0.947904646,0.96463412,0.97763133,0.966415346,0.95669806,0.967978716,1,0.999896169,0.937304437,0.92967546,0.924089253,0.942995846,0.952551603,0.778893173,0.867806137,0.982643604,0.970375955,0.985067487,0.981708169,0.980964899,0.990169227,0.951762378,0.947445691,0.996926546,0.902043343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.105039477,0.744808793,2.698776484,2.34452343,0.142966434,0.145914197,66.65283966,63.62527466,100.9210434,102.4226685,3.303883553,1.889230371,8.017308235,2.117893457,13.66862297,16.2834816,282.6560364,272.3952942,312.0788574,339.1100159,13.25239372,16.39323616,29.81561089,30.85258484,9050.001762,8073.653758,19.98711014,14.76975918,52.44421768,31.80801582,8437770.486,4667771.006,453600.2333,166990.1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373855799,0.306115896,1.734830618,1.680118442,0.711357594,0.686216176,51.72449112,46.25174713,77.93367004,72.67832184,1.132653117,0.965034962,0.244897962,0.237762243,1.622448921,0.748251736,11.84183693,12.67132854,196.0969391,207.0419617,351.663269,387.2657471,16.05330086,18.79571152,34.36224365,37.28671265,6006.887755,3292.608392,18.18828964,14.50283813,51.69897842,37.40559387,683570.1263,645100.741,121354.8733,54901.36111
8,0,8,NA,NA,-0.156242445,0.162760615,0.21861653,0.201910391,0.239883408,0.267935276,0.033867996,0.007088799,0.206876785,0.24231708,-0.135078445,0.347300112,0.343074977,0.214649558,0.229377925,0.33525306,-0.118519224,0.012347113,0.330928117,0.218877792,0.987844646,0.893654168,0.878105164,0.815459192,0.808264136,0.982492864,0.978794992,0.968605697,0.95266062,0.978147924,0.981687665,0.983654201,0.986169875,0.984048009,0.974538386,1,0.999999523,0.97337234,0.887002409,0.965855122,0.909152746,0.897005439,0.938753724,0.950767219,0.965152025,0.888936222,0.980108738,0.971492529,0.982940197,0.998403132,0.983264387,0.972972035,0.998270035,0.984336138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.158196568,0.805846095,3.260189056,3.146460056,0.147156045,0.140456721,88.21882629,86.7674408,143.4527588,137.0162354,3.521972656,2.26992631,9.858629227,2.874110937,15.42582607,17.98781013,351.7300415,324.9497375,359.2224426,389.7941895,15.57133293,19.69169998,34.16046143,35.86086273,9836.928996,8456.274697,21.49628258,16.33537865,56.9935112,36.21081161,29580889.28,9246699.925,704010.3769,397902.6344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422227263,0.4055264,2.467628241,2.440270662,0.693567216,0.68326962,75.15306091,67.2937088,116.81633,106.2377625,1.295918345,1.293706298,0.260204077,0.265734255,1.867346883,0.993007004,13.16836739,14.79020977,218.5050964,241.8881073,392.5306091,439.1608276,18.61685181,22.45630836,39.75,43.88811111,6703.163265,3554.986014,20.51833725,16.82456398,59.83673477,44.29370499,2944488.622,1192699.036,211310.7349,135323.5254
9,0,9,NA,NA,-0.080467381,0.143258289,0.217555374,0.225117519,0.268176407,0.280836016,0.093184412,0.061124109,0.196880281,0.265194595,-0.011747098,0.344458133,0.343872398,0.220732033,0.240463018,0.338880241,-0.005450466,0.05778373,0.332259387,0.227707535,0.990082324,0.945395768,0.928924084,0.909894526,0.919054508,0.963773489,0.997531712,0.974978089,0.966859221,0.993584096,0.989238083,0.992238164,0.997198284,0.994552493,0.996674299,1,0.99999994,0.867381573,0.846761703,0.902994871,0.836306572,0.799394429,0.706805944,0.986418009,0.982056141,0.985727847,0.991997302,0.987934887,0.990143001,0.998286963,0.997147858,0.995805979,0.998654962,0.991369784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.247786045,1.203018308,3.705151796,4.271871567,0.134199947,0.134576827,102.9058075,114.3950806,163.4236145,190.7131042,4.140048981,3.640281439,10.67030811,3.022568464,17.42532921,19.95652008,406.2927551,343.8713379,379.1303711,424.2937927,16.83680344,21.93459511,36.14517975,38.90874863,10145.79437,8517.69622,22.0037632,16.45249939,58.08450699,36.7714653,38190687.9,20993300.5,964619.0058,614859.3467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.530154765,0.60642451,3.102510452,3.546780348,0.684685886,0.674039602,97.00510406,99.13986206,150.2755127,158.9930115,1.617346883,1.874125838,0.275510192,0.279720277,1.96938777,1.069930077,14.73469353,16.83916092,246.7959137,269.0909119,417.413269,479.5174866,20.44626617,25.41412544,43.34693909,49.13286591,6946.076531,3677.734266,21.43353844,17.46022606,62.48469543,46.16783142,3830060.42,3058242.357,323193.5787,226256.811
10,0,10,NA,NA,0.088222027,0.133353889,0.225139439,0.245243028,0.301212966,0.293414891,0.182099611,0.16867435,0.19548589,0.285000563,0.0991337,0.341099679,0.348385483,0.244847804,0.26819393,0.354738295,0.082133219,0.118673027,0.325445592,0.255445451,0.88736546,0.859635949,0.920650959,0.861945391,0.867214739,0.741430521,0.999672174,0.945295691,0.986865997,0.982916176,0.975301445,0.986569285,0.995861351,0.998028278,0.998886287,1,1,0.928774357,0.895074785,0.787717044,0.89447242,0.901744366,0.710294545,0.964579821,0.950105011,0.930997729,0.977064967,0.965479374,0.974915802,0.997421265,0.992356956,0.994642019,0.999195814,0.997336566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.735565424,1.45627892,5.016093254,5.234897614,0.128772154,0.123394258,133.7675476,141.7392426,211.6926575,244.9377289,7.202496529,7.099925518,11.0085783,3.788327217,19.75695038,23.85438728,416.744812,431.2772217,407.4453735,493.4697266,18.52360153,25.42501831,38.47130203,43.31687164,10259.53131,8519.916057,22.01641464,16.27778435,58.70797348,36.50288773,20266158.13,17091505.65,1249631.961,835662.3762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794597268,0.890535712,4.588674545,5.211062908,0.675878108,0.659229398,138.3979645,150.6083984,215.1683655,244.384613,2.627551079,3.699300766,0.290816337,0.300699294,2.03061223,1.265734315,17.26020432,20.65035057,272.545929,336.1818237,459.709198,552.489502,23.11281967,30.38442421,47.8571434,57.23776245,7125.719388,3777.230769,21.86228561,18.00477982,63.65816498,47.45454407,1677780.724,2144367.475,451703.3098,323241.4436
11,0,11,0.482693493,0.348977089,0.140856415,0.133035481,0.209279582,0.231771424,0.285012871,0.281758785,0.236935541,0.189964056,0.178596735,0.273488104,0.205325946,0.312473416,0.329821378,0.248681024,0.273846835,0.330504775,0.179626957,0.202709258,0.297279537,0.257102489,0.859038234,0.804030657,0.766067505,0.681822002,0.634829462,0.644454181,0.999565959,0.880764365,0.888197422,0.972308934,0.962580025,0.978999376,0.99938345,0.998898983,0.99889183,1,1,0.686091304,0.776368439,0.641840219,0.66300267,0.631828845,0.497007489,0.915034533,0.944028616,0.960218489,0.977086306,0.970656812,0.975640059,0.996960163,0.989001155,0.988896668,0.999391675,0.999307871,11.85316563,13.22018909,6.501375198,7.175465107,16.42611694,11.0714426,11.24570465,9.916399956,9.459771156,11.51089764,8.989471436,10.26496983,2.01849556,2.986417055,0.071428575,0.376308918,2.800394058,2.160610676,6.28756094,6.838322639,0.108516552,0.111916296,162.0948181,166.391037,263.0237122,299.1390076,15.97766876,18.242239,11.12602615,4.492253304,27.27596664,27.64014816,566.0643921,479.7422791,457.6275635,559.4517212,21.44703293,29.34647751,42.92300415,49.46374893,10276.80488,8541.384277,21.94288635,16.01767159,58.49596405,35.89518356,53915969.05,39031261.87,3444342.431,1027842.57,40.99232101,36.0318985,43.51734543,41.64230728,70.3926239,74.13749695,79.83965302,78.5206604,74.99921417,74.43940735,30.21938705,29.98951149,19.78492928,19.48136711,24.99489784,24.96853065,2.054129839,1.986884713,8.307498932,9.174025536,0.654913902,0.625688314,275.4642944,292.3146973,433.2449036,487.7062988,9.892857552,14.58741283,0.306122452,0.321678311,2.107142925,1.531468511,23.33673477,26.31468582,357.7755127,410.4335632,555.4796143,667.1958008,28.81156349,37.41168213,57.51530457,69.30069733,7220.418367,3897.636364,22.18708992,18.66441345,64.72959137,49.1468544,5454872.596,5357389.979,782716.8808,405920.4748
12,1,1,NA,NA,NA,NA,NA,NA,0.036357928,NA,NA,-0.183016717,NA,0.042189684,NA,NA,NA,NA,0.280940711,NA,NA,-0.033290233,NA,0.326963753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275444746,0.369631499,NA,NA,NA,NA,NA,NA,NA,NA,0.073323555,0.086710997,1.126211405,1.274520278,14.71745396,15.94466686,41.35617447,40.06915665,1.403734684,1.573010683,3.021077633,3.506138325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06354823,0.084106393,NA,NA,NA,NA,NA,NA,NA,NA,0.005376344,0.007518797,0.005376344,0.007518797,0.322580636,0.421052635,2.865591288,4.218045235,16.19892502,16.09022522,0.61879766,0.754396796,1.489247322,1.781954885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,2,NA,NA,0.289816946,NA,NA,0.124121815,0.153270066,NA,0.095813394,0.326753169,NA,0.142415985,-0.02018665,NA,NA,0.13170296,0.272675663,NA,0.378887713,-0.000965622,NA,0.270912558,NA,0.363665372,NA,NA,NA,NA,NA,0.533853352,0.811402261,0.540309429,0.582736552,0.646100283,NA,NA,NA,NA,NA,NA,0.135399833,NA,NA,NA,NA,NA,0.605147958,0.660175443,0.794240892,0.842682183,0.844061494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137412176,0.147813544,0.400438517,0.582460284,0.190792546,0.153575137,11.49530029,9.663723946,17.0919323,14.31324482,0.44757086,0.444582075,0.238967553,0.149045721,2.787483931,3.091341257,45.40473557,42.20653915,111.1669083,103.9949188,3.663107157,4.179346085,8.163192749,9.197449684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035761438,0.022213079,0.09964709,0.176496923,0.697966039,0.647915184,3.096774101,3.473684311,4.790322781,5.278195381,0.102150537,0.082706764,0.043010753,0.022556391,0.048387095,0.022556391,1.279569864,1.669172883,14.38709641,18.95488739,91.89785004,94.06767273,3.213564634,3.635540247,6.989247322,7.857142925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
